Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
82,Toumani Camara,PF,23,POR,55,1296,9.7,.521,.406,.230,8.3,14.9,11.3,6.2,2.0,1.7,15.2,14.1,,-0.2,1.2,1.0,.037,,-4.0,0.0,-4.0,-0.6,camarto01
83,Clint Capela,C,29,ATL,49,1245,20.4,.587,.000,.332,19.3,25.0,22.0,5.3,1.0,5.1,8.3,16.7,,3.0,1.1,4.1,.158,,0.9,-1.4,-0.4,0.5,capelca01
84,Jevon Carter,PG,28,CHI,54,742,8.2,.484,.651,.018,0.9,5.7,3.2,12.3,1.9,1.7,9.5,18.7,,-0.6,0.6,0.0,.002,,-3.5,-0.5,-4.0,-0.4,carteje01
85,Wendell Carter Jr.,C,24,ORL,32,839,15.5,.647,.372,.340,7.9,21.3,14.5,8.8,0.9,1.6,11.9,16.8,,1.4,1.1,2.5,.145,,0.5,-0.1,0.5,0.5,cartewe01
86,D.J. Carton,SG,23,TOR,1,4,22.7,1.042,.000,1.000,0.0,28.1,13.8,0.0,0.0,0.0,0.0,15.4,,0.0,0.0,0.0,.357,,-5.2,5.4,0.2,0.0,cartodj01
87,Alex Caruso,SG,29,CHI,49,1335,14.5,.624,.604,.205,3.8,11.8,7.7,14.4,2.5,4.3,14.9,15.0,,1.5,1.8,3.3,.118,,0.2,2.2,2.5,1.5,carusal01
88,Colin Castleton,C,23,LAL,7,36,18.5,.765,.000,.400,12.9,14.7,13.9,11.9,0.0,0.0,7.8,15.3,,0.2,0.0,0.2,.232,,-0.2,-1.8,-2.0,0.0,castlco01
89,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.017,,-6.0,-3.2,-9.2,0.0,cazalma01
90,Julian Champagnie,SF,22,SAS,51,856,10.9,.555,.714,.200,3.8,13.0,8.3,9.7,1.7,2.7,10.7,14.6,,0.3,0.7,0.9,.052,,-1.8,-0.4,-2.2,0.0,champju02
91,Justin Champagnie,SF,22,WAS,2,10,30.7,.786,.429,.000,0.0,0.0,0.0,0.0,4.6,0.0,12.5,33.5,,0.0,0.0,0.0,.096,,9.0,2.9,12.0,0.0,champju01
